Hidden_size:2, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.7708
Hidden_size:2, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.7361
Hidden_size:2, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.7060
Hidden_size:2, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.6065
Hidden_size:2, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.5648
Hidden_size:2, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.5880
Hidden_size:2, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.8611
Hidden_size:2, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.9722
Hidden_size:2, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.9167
Hidden_size:2, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.7315
Hidden_size:2, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.5486
Hidden_size:2, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.8264
Hidden_size:3, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.7292
Hidden_size:3, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.7917
Hidden_size:3, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.8588
Hidden_size:3, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.4931
Hidden_size:3, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.5880
Hidden_size:3, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.5949
Hidden_size:3, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.9491
Hidden_size:3, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.9653
Hidden_size:3, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.8171
Hidden_size:3, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.7014
Hidden_size:3, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.7361
Hidden_size:3, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.7292
Hidden_size:4, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.6065
Hidden_size:4, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.7269
Hidden_size:4, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.8472
Hidden_size:4, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.5579
Hidden_size:4, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.6389
Hidden_size:4, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.5949
Hidden_size:4, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.9583
Hidden_size:4, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.8773
Hidden_size:4, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.7708
Hidden_size:4, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.7593
Hidden_size:4, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.6435
Hidden_size:4, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.7431
Hidden_size:5, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.7292
Hidden_size:5, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.8056
Hidden_size:5, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.8796
Hidden_size:5, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.5995
Hidden_size:5, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.6134
Hidden_size:5, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.5324
Hidden_size:5, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 1.0000
Hidden_size:5, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.9375
Hidden_size:5, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.8287
Hidden_size:5, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.7778
Hidden_size:5, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.7315
Hidden_size:5, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.6852
