Hidden_size:8, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:8, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:7, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:6, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.01, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.01, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.01, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.001, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.001, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.001, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.05, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.05, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.05, Rate: 0.3 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.005, Rate: 0.2 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.005, Rate: 0.25 ,Accuracy: 0.0000
Hidden_size:5, Learning-rate:0.005, Rate: 0.3 ,Accuracy: 0.0000
