Hidden_size:2, Learning-rate:0.01, Rate: 0.2, Accuracy: 0.6505
Hidden_size:2, Learning-rate:0.01, Rate: 0.25, Accuracy: 0.6713
Hidden_size:2, Learning-rate:0.01, Rate: 0.3, Accuracy: 0.7269
Hidden_size:2, Learning-rate:0.001, Rate: 0.2, Accuracy: 0.4931
Hidden_size:2, Learning-rate:0.001, Rate: 0.25, Accuracy: 0.5556
Hidden_size:2, Learning-rate:0.001, Rate: 0.3, Accuracy: 0.5671
Hidden_size:2, Learning-rate:0.05, Rate: 0.2, Accuracy: 0.8519
Hidden_size:2, Learning-rate:0.05, Rate: 0.25, Accuracy: 0.9167
Hidden_size:2, Learning-rate:0.05, Rate: 0.3, Accuracy: 0.9745
Hidden_size:2, Learning-rate:0.005, Rate: 0.2, Accuracy: 0.5694
Hidden_size:2, Learning-rate:0.005, Rate: 0.25, Accuracy: 0.6620
Hidden_size:2, Learning-rate:0.005, Rate: 0.3, Accuracy: 0.5949
Hidden_size:3, Learning-rate:0.01, Rate: 0.2, Accuracy: 0.7176
Hidden_size:3, Learning-rate:0.01, Rate: 0.25, Accuracy: 0.7269
Hidden_size:3, Learning-rate:0.01, Rate: 0.3, Accuracy: 0.7847
Hidden_size:3, Learning-rate:0.001, Rate: 0.2, Accuracy: 0.5463
Hidden_size:3, Learning-rate:0.001, Rate: 0.25, Accuracy: 0.6898
Hidden_size:3, Learning-rate:0.001, Rate: 0.3, Accuracy: 0.5718
Hidden_size:3, Learning-rate:0.05, Rate: 0.2, Accuracy: 0.9907
Hidden_size:3, Learning-rate:0.05, Rate: 0.25, Accuracy: 0.8843
Hidden_size:3, Learning-rate:0.05, Rate: 0.3, Accuracy: 0.9190
Hidden_size:3, Learning-rate:0.005, Rate: 0.2, Accuracy: 0.6875
Hidden_size:3, Learning-rate:0.005, Rate: 0.25, Accuracy: 0.6227
Hidden_size:3, Learning-rate:0.005, Rate: 0.3, Accuracy: 0.7338
Hidden_size:4, Learning-rate:0.01, Rate: 0.2, Accuracy: 0.8287
Hidden_size:4, Learning-rate:0.01, Rate: 0.25, Accuracy: 0.7986
Hidden_size:4, Learning-rate:0.01, Rate: 0.3, Accuracy: 0.8356
Hidden_size:4, Learning-rate:0.001, Rate: 0.2, Accuracy: 0.6806
Hidden_size:4, Learning-rate:0.001, Rate: 0.25, Accuracy: 0.5903
Hidden_size:4, Learning-rate:0.001, Rate: 0.3, Accuracy: 0.6921
Hidden_size:4, Learning-rate:0.05, Rate: 0.2, Accuracy: 0.9838
Hidden_size:4, Learning-rate:0.05, Rate: 0.25, Accuracy: 0.8310
Hidden_size:4, Learning-rate:0.05, Rate: 0.3, Accuracy: 1.0000
Hidden_size:4, Learning-rate:0.005, Rate: 0.2, Accuracy: 0.7130
Hidden_size:4, Learning-rate:0.005, Rate: 0.25, Accuracy: 0.5278
Hidden_size:4, Learning-rate:0.005, Rate: 0.3, Accuracy: 0.6620
Hidden_size:5, Learning-rate:0.01, Rate: 0.2, Accuracy: 0.7292
Hidden_size:5, Learning-rate:0.01, Rate: 0.25, Accuracy: 0.7477
Hidden_size:5, Learning-rate:0.01, Rate: 0.3, Accuracy: 0.7593
Hidden_size:5, Learning-rate:0.001, Rate: 0.2, Accuracy: 0.6111
Hidden_size:5, Learning-rate:0.001, Rate: 0.25, Accuracy: 0.6435
Hidden_size:5, Learning-rate:0.001, Rate: 0.3, Accuracy: 0.5718
Hidden_size:5, Learning-rate:0.05, Rate: 0.2, Accuracy: 1.0000
Hidden_size:5, Learning-rate:0.05, Rate: 0.25, Accuracy: 0.9699
Hidden_size:5, Learning-rate:0.05, Rate: 0.3, Accuracy: 0.9838
Hidden_size:5, Learning-rate:0.005, Rate: 0.2, Accuracy: 0.6875
Hidden_size:5, Learning-rate:0.005, Rate: 0.25, Accuracy: 0.7384
Hidden_size:5, Learning-rate:0.005, Rate: 0.3, Accuracy: 0.6991
